diagcodelvl1,diagdesclvl1
a00,Cholera
a01,Typhoid and paratyphoid fevers
a02,Other salmonella infections
a03,Shigellosis
a04,Other bacterial intestinal infections
a05,"Other bacterial foodborne intoxications, not elsewhere classified"
a06,Amebiasis
a07,Other protozoal intestinal diseases
a08,Viral and other specified intestinal infections
a09,"Infectious gastroenteritis and colitis, unspecified"
a15,Respiratory tuberculosis
a17,Tuberculosis of nervous system
a18,Tuberculosis of other organs
a19,Miliary tuberculosis
a20,Plague
a21,Tularemia
a22,Anthrax
a23,Brucellosis
a24,Glanders and melioidosis
a25,Rat-bite fevers
a26,Erysipeloid
a27,Leptospirosis
a28,"Other zoonotic bacterial diseases, not elsewhere classified"
a30,Leprosy [Hansen's disease]
a31,Infection due to other mycobacteria
a32,Listeriosis
a33,Tetanus neonatorum
a34,Obstetrical tetanus
a35,Other tetanus
a36,Diphtheria
a37,Whooping cough
a38,Scarlet fever
a39,Meningococcal infection
a40,Streptococcal sepsis
a41,Other sepsis
a42,Actinomycosis
a43,Nocardiosis
a44,Bartonellosis
a46,Erysipelas
a48,"Other bacterial diseases, not elsewhere classified"
a49,Bacterial infection of unspecified site
a50,Congenital syphilis
a51,Early syphilis
a52,Late syphilis
a53,Other and unspecified syphilis
a54,Gonococcal infection
a55,Chlamydial lymphogranuloma (venereum)
a56,Other sexually transmitted chlamydial diseases
a57,Chancroid
a58,Granuloma inguinale
a59,Trichomoniasis
a60,Anogenital herpesviral [herpes simplex] infections
a63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
a64,Unspecified sexually transmitted disease
a65,Nonvenereal syphilis
a66,Yaws
a67,Pinta [carate]
a68,Relapsing fevers
a69,Other spirochetal infections
a70,Chlamydia psittaci infections
a71,Trachoma
a74,Other diseases caused by chlamydiae
a75,Typhus fever
a77,Spotted fever [tick-borne rickettsioses]
a78,Q fever
a79,Other rickettsioses
a80,Acute poliomyelitis
a81,Atypical virus infections of central nervous system
a82,Rabies
a83,Mosquito-borne viral encephalitis
a84,Tick-borne viral encephalitis
a85,"Other viral encephalitis, not elsewhere classified"
a86,Unspecified viral encephalitis
a87,Viral meningitis
a88,"Other viral infections of central nervous system, not elsewhere classified"
a89,Unspecified viral infection of central nervous system
a90,Dengue fever [classical dengue]
a91,Dengue hemorrhagic fever
a92,Other mosquito-borne viral fevers
a93,"Other arthropod-borne viral fevers, not elsewhere classified"
a94,Unspecified arthropod-borne viral fever
a95,Yellow fever
a96,Arenaviral hemorrhagic fever
a98,"Other viral hemorrhagic fevers, not elsewhere classified"
a99,Unspecified viral hemorrhagic fever
b00,Herpesviral [herpes simplex] infections
b01,Varicella [chickenpox]
b02,Zoster [herpes zoster]
b03,Smallpox
b04,Monkeypox
b05,Measles
b06,Rubella [German measles]
b07,Viral warts
b08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
b09,Unspecified viral infection characterized by skin and mucous membrane lesions
b10,Other human herpesviruses
b15,Acute hepatitis A
b16,Acute hepatitis B
b17,Other acute viral hepatitis
b18,Chronic viral hepatitis
b19,Unspecified viral hepatitis
b20,Human immunodeficiency virus [HIV] disease
b25,Cytomegaloviral disease
b26,Mumps
b27,Infectious mononucleosis
b30,Viral conjunctivitis
b33,"Other viral diseases, not elsewhere classified"
b34,Viral infection of unspecified site
b35,Dermatophytosis
b36,Other superficial mycoses
b37,Candidiasis
b38,Coccidioidomycosis
b39,Histoplasmosis
b40,Blastomycosis
b41,Paracoccidioidomycosis
b42,Sporotrichosis
b43,Chromomycosis and pheomycotic abscess
b44,Aspergillosis
b45,Cryptococcosis
b46,Zygomycosis
b47,Mycetoma
b48,"Other mycoses, not elsewhere classified"
b49,Unspecified mycosis
b50,Plasmodium falciparum malaria
b51,Plasmodium vivax malaria
b52,Plasmodium malariae malaria
b53,Other specified malaria
b54,Unspecified malaria
b55,Leishmaniasis
b56,African trypanosomiasis
b57,Chagas' disease
b58,Toxoplasmosis
b59,Pneumocystosis
b60,"Other protozoal diseases, not elsewhere classified"
b64,Unspecified protozoal disease
b65,Schistosomiasis [bilharziasis]
b66,Other fluke infections
b67,Echinococcosis
b68,Taeniasis
b69,Cysticercosis
b70,Diphyllobothriasis and sparganosis
b71,Other cestode infections
b72,Dracunculiasis
b73,Onchocerciasis
b74,Filariasis
b75,Trichinellosis
b76,Hookworm diseases
b77,Ascariasis
b78,Strongyloidiasis
b79,Trichuriasis
b80,Enterobiasis
b81,"Other intestinal helminthiases, not elsewhere classified"
b82,Unspecified intestinal parasitism
b83,Other helminthiases
b85,Pediculosis and phthiriasis
b86,Scabies
b87,Myiasis
b88,Other infestations
b89,Unspecified parasitic disease
b90,Sequelae of tuberculosis
b91,Sequelae of poliomyelitis
b92,Sequelae of leprosy
b94,Sequelae of other and unspecified infectious and parasitic diseases
b95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
b96,Other bacterial agents as the cause of diseases classified elsewhere
b97,Viral agents as the cause of diseases classified elsewhere
b99,Other and unspecified infectious diseases
c00,Malignant neoplasm of lip
c01,Malignant neoplasm of base of tongue
c02,Malignant neoplasm of other and unspecified parts of tongue
c03,Malignant neoplasm of gum
c04,Malignant neoplasm of floor of mouth
c05,Malignant neoplasm of palate
c06,Malignant neoplasm of other and unspecified parts of mouth
c07,Malignant neoplasm of parotid gland
c08,Malignant neoplasm of other and unspecified major salivary glands
c09,Malignant neoplasm of tonsil
c10,Malignant neoplasm of oropharynx
c11,Malignant neoplasm of nasopharynx
c12,Malignant neoplasm of pyriform sinus
c13,Malignant neoplasm of hypopharynx
c14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
c15,Malignant neoplasm of esophagus
c16,Malignant neoplasm of stomach
c17,Malignant neoplasm of small intestine
c18,Malignant neoplasm of colon
c19,Malignant neoplasm of rectosigmoid junction
c20,Malignant neoplasm of rectum
c21,Malignant neoplasm of anus and anal canal
c22,Malignant neoplasm of liver and intrahepatic bile ducts
c23,Malignant neoplasm of gallbladder
c24,Malignant neoplasm of other and unspecified parts of biliary tract
c25,Malignant neoplasm of pancreas
c26,Malignant neoplasm of other and ill-defined digestive organs
c30,Malignant neoplasm of nasal cavity and middle ear
c31,Malignant neoplasm of accessory sinuses
c32,Malignant neoplasm of larynx
c33,Malignant neoplasm of trachea
c34,Malignant neoplasm of bronchus and lung
c37,Malignant neoplasm of thymus
c38,"Malignant neoplasm of heart, mediastinum and pleura"
c39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
c40,Malignant neoplasm of bone and articular cartilage of limbs
c41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
c43,Malignant melanoma of skin
c44,Other and unspecified malignant neoplasm of skin
c45,Mesothelioma
c46,Kaposi's sarcoma
c47,Malignant neoplasm of peripheral nerves and autonomic nervous system
c48,Malignant neoplasm of retroperitoneum and peritoneum
c49,Malignant neoplasm of other connective and soft tissue
c4a,Merkel cell carcinoma
c50,Malignant neoplasm of breast
c51,Malignant neoplasm of vulva
c52,Malignant neoplasm of vagina
c53,Malignant neoplasm of cervix uteri
c54,Malignant neoplasm of corpus uteri
c55,"Malignant neoplasm of uterus, part unspecified"
c56,Malignant neoplasm of ovary
c57,Malignant neoplasm of other and unspecified female genital organs
c58,Malignant neoplasm of placenta
c60,Malignant neoplasm of penis
c61,Malignant neoplasm of prostate
c62,Malignant neoplasm of testis
c63,Malignant neoplasm of other and unspecified male genital organs
c64,"Malignant neoplasm of kidney, except renal pelvis"
c65,Malignant neoplasm of renal pelvis
c66,Malignant neoplasm of ureter
c67,Malignant neoplasm of bladder
c68,Malignant neoplasm of other and unspecified urinary organs
c69,Malignant neoplasm of eye and adnexa
c70,Malignant neoplasm of meninges
c71,Malignant neoplasm of brain
c72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
c73,Malignant neoplasm of thyroid gland
c74,Malignant neoplasm of adrenal gland
c75,Malignant neoplasm of other endocrine glands and related structures
c76,Malignant neoplasm of other and ill-defined sites
c77,Secondary and unspecified malignant neoplasm of lymph nodes
c78,Secondary malignant neoplasm of respiratory and digestive organs
c79,Secondary malignant neoplasm of other and unspecified sites
c7a,Malignant neuroendocrine tumors
c7b,Secondary neuroendocrine tumors
c80,Malignant neoplasm without specification of site
c81,Hodgkin lymphoma
c82,Follicular lymphoma
c83,Non-follicular lymphoma
c84,Mature T/NK-cell lymphomas
c85,Other specified and unspecified types of non-Hodgkin lymphoma
c86,Other specified types of T/NK-cell lymphoma
c88,Malignant immunoproliferative diseases and certain other B-cell lymphomas
c90,Multiple myeloma and malignant plasma cell neoplasms
c91,Lymphoid leukemia
c92,Myeloid leukemia
c93,Monocytic leukemia
c94,Other leukemias of specified cell type
c95,Leukemia of unspecified cell type
c96,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue"
d00,"Carcinoma in situ of oral cavity, esophagus and stomach"
d01,Carcinoma in situ of other and unspecified digestive organs
d02,Carcinoma in situ of middle ear and respiratory system
d03,Melanoma in situ
d04,Carcinoma in situ of skin
d05,Carcinoma in situ of breast
d06,Carcinoma in situ of cervix uteri
d07,Carcinoma in situ of other and unspecified genital organs
d09,Carcinoma in situ of other and unspecified sites
d10,Benign neoplasm of mouth and pharynx
d11,Benign neoplasm of major salivary glands
d12,"Benign neoplasm of colon, rectum, anus and anal canal"
d13,Benign neoplasm of other and ill-defined parts of digestive system
d14,Benign neoplasm of middle ear and respiratory system
d15,Benign neoplasm of other and unspecified intrathoracic organs
d16,Benign neoplasm of bone and articular cartilage
d17,Benign lipomatous neoplasm
d18,"Hemangioma and lymphangioma, any site"
d19,Benign neoplasm of mesothelial tissue
d20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
d21,Other benign neoplasms of connective and other soft tissue
d22,Melanocytic nevi
d23,Other benign neoplasms of skin
d24,Benign neoplasm of breast
d25,Leiomyoma of uterus
d26,Other benign neoplasms of uterus
d27,Benign neoplasm of ovary
d28,Benign neoplasm of other and unspecified female genital organs
d29,Benign neoplasm of male genital organs
d30,Benign neoplasm of urinary organs
d31,Benign neoplasm of eye and adnexa
d32,Benign neoplasm of meninges
d33,Benign neoplasm of brain and other parts of central nervous system
d34,Benign neoplasm of thyroid gland
d35,Benign neoplasm of other and unspecified endocrine glands
d36,Benign neoplasm of other and unspecified sites
d37,Neoplasm of uncertain behavior of oral cavity and digestive organs
d38,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
d39,Neoplasm of uncertain behavior of female genital organs
d3a,Benign neuroendocrine tumors
d40,Neoplasm of uncertain behavior of male genital organs
d41,Neoplasm of uncertain behavior of urinary organs
d42,Neoplasm of uncertain behavior of meninges
d43,Neoplasm of uncertain behavior of brain and central nervous system
d44,Neoplasm of uncertain behavior of endocrine glands
d45,Polycythemia vera
d46,Myelodysplastic syndromes
d47,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
d48,Neoplasm of uncertain behavior of other and unspecified sites
d49,Neoplasms of unspecified behavior
d50,Iron deficiency anemia
d51,Vitamin B12 deficiency anemia
d52,Folate deficiency anemia
d53,Other nutritional anemias
d55,Anemia due to enzyme disorders
d56,Thalassemia
d57,Sickle-cell disorders
d58,Other hereditary hemolytic anemias
d59,Acquired hemolytic anemia
d60,Acquired pure red cell aplasia [erythroblastopenia]
d61,Other aplastic anemias and other bone marrow failure syndromes
d62,Acute posthemorrhagic anemia
d63,Anemia in chronic diseases classified elsewhere
d64,Other anemias
d65,Disseminated intravascular coagulation [defibrination syndrome]
d66,Hereditary factor VIII deficiency
d67,Hereditary factor IX deficiency
d68,Other coagulation defects
d69,Purpura and other hemorrhagic conditions
d70,Neutropenia
d71,Functional disorders of polymorphonuclear neutrophils
d72,Other disorders of white blood cells
d73,Diseases of spleen
d74,Methemoglobinemia
d75,Other and unspecified diseases of blood and blood-forming organs
d76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
d77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
d78,Intraoperative and postprocedural complications of the spleen
d80,Immunodeficiency with predominantly antibody defects
d81,Combined immunodeficiencies
d82,Immunodeficiency associated with other major defects
d83,Common variable immunodeficiency
d84,Other immunodeficiencies
d86,Sarcoidosis
d89,"Other disorders involving the immune mechanism, not elsewhere classified"
e00,Congenital iodine-deficiency syndrome
e01,Iodine-deficiency related thyroid disorders and allied conditions
e02,Subclinical iodine-deficiency hypothyroidism
e03,Other hypothyroidism
e04,Other nontoxic goiter
e05,Thyrotoxicosis [hyperthyroidism]
e06,Thyroiditis
e07,Other disorders of thyroid
e08,Diabetes mellitus due to underlying condition
e09,Drug or chemical induced diabetes mellitus
e10,Type 1 diabetes mellitus
e11,Type 2 diabetes mellitus
e13,Other specified diabetes mellitus
e15,Nondiabetic hypoglycemic coma
e16,Other disorders of pancreatic internal secretion
e20,Hypoparathyroidism
e21,Hyperparathyroidism and other disorders of parathyroid gland
e22,Hyperfunction of pituitary gland
e23,Hypofunction and other disorders of the pituitary gland
e24,Cushing's syndrome
e25,Adrenogenital disorders
e26,Hyperaldosteronism
e27,Other disorders of adrenal gland
e28,Ovarian dysfunction
e29,Testicular dysfunction
e30,"Disorders of puberty, not elsewhere classified"
e31,Polyglandular dysfunction
e32,Diseases of thymus
e34,Other endocrine disorders
e35,Disorders of endocrine glands in diseases classified elsewhere
e36,Intraoperative complications of endocrine system
e40,Kwashiorkor
e41,Nutritional marasmus
e42,Marasmic kwashiorkor
e43,Unspecified severe protein-calorie malnutrition
e44,Protein-calorie malnutrition of moderate and mild degree
e45,Retarded development following protein-calorie malnutrition
e46,Unspecified protein-calorie malnutrition
e50,Vitamin A deficiency
e51,Thiamine deficiency
e52,Niacin deficiency [pellagra]
e53,Deficiency of other B group vitamins
e54,Ascorbic acid deficiency
e55,Vitamin D deficiency
e56,Other vitamin deficiencies
e58,Dietary calcium deficiency
e59,Dietary selenium deficiency
e60,Dietary zinc deficiency
e61,Deficiency of other nutrient elements
e63,Other nutritional deficiencies
e64,Sequelae of malnutrition and other nutritional deficiencies
e65,Localized adiposity
e66,Overweight and obesity
e67,Other hyperalimentation
e68,Sequelae of hyperalimentation
e70,Disorders of aromatic amino-acid metabolism
e71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
e72,Other disorders of amino-acid metabolism
e73,Lactose intolerance
e74,Other disorders of carbohydrate metabolism
e75,Disorders of sphingolipid metabolism and other lipid storage disorders
e76,Disorders of glycosaminoglycan metabolism
e77,Disorders of glycoprotein metabolism
e78,Disorders of lipoprotein metabolism and other lipidemias
e79,Disorders of purine and pyrimidine metabolism
e80,Disorders of porphyrin and bilirubin metabolism
e83,Disorders of mineral metabolism
e84,Cystic fibrosis
e85,Amyloidosis
e86,Volume depletion
e87,"Other disorders of fluid, electrolyte and acid-base balance"
e88,Other and unspecified metabolic disorders
e89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
f01,Vascular dementia
f02,Dementia in other diseases classified elsewhere
f03,Unspecified dementia
f04,Amnestic disorder due to known physiological condition
f05,Delirium due to known physiological condition
f06,Other mental disorders due to known physiological condition
f07,Personality and behavioral disorders due to known physiological condition
f09,Unspecified mental disorder due to known physiological condition
f10,Alcohol related disorders
f11,Opioid related disorders
f12,Cannabis related disorders
f13,"Sedative, hypnotic, or anxiolytic related disorders"
f14,Cocaine related disorders
f15,Other stimulant related disorders
f16,Hallucinogen related disorders
f17,Nicotine dependence
f18,Inhalant related disorders
f19,Other psychoactive substance related disorders
f20,Schizophrenia
f21,Schizotypal disorder
f22,Delusional disorders
f23,Brief psychotic disorder
f24,Shared psychotic disorder
f25,Schizoaffective disorders
f28,Other psychotic disorder not due to a substance or known physiological condition
f29,Unspecified psychosis not due to a substance or known physiological condition
f30,Manic episode
f31,Bipolar disorder
f32,"Major depressive disorder, single episode"
f33,"Major depressive disorder, recurrent"
f34,Persistent mood [affective] disorders
f39,Unspecified mood [affective] disorder
f40,Phobic anxiety disorders
f41,Other anxiety disorders
f42,Obsessive-compulsive disorder
f43,"Reaction to severe stress, and adjustment disorders"
f44,Dissociative and conversion disorders
f45,Somatoform disorders
f48,Other nonpsychotic mental disorders
f50,Eating disorders
f51,Sleep disorders not due to a substance or known physiological condition
f52,Sexual dysfunction not due to a substance or known physiological condition
f53,"Mental and behavioral disorders associated with the puerperium, not elsewhere classified"
f54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
f55,Abuse of non-psychoactive substances
f59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
f60,Specific personality disorders
f63,Impulse disorders
f64,Gender identity disorders
f65,Paraphilias
f66,Other sexual disorders
f68,Other disorders of adult personality and behavior
f69,Unspecified disorder of adult personality and behavior
f70,Mild intellectual disabilities
f71,Moderate intellectual disabilities
f72,Severe intellectual disabilities
f73,Profound intellectual disabilities
f78,Other intellectual disabilities
f79,Unspecified intellectual disabilities
f80,Specific developmental disorders of speech and language
f81,Specific developmental disorders of scholastic skills
f82,Specific developmental disorder of motor function
f84,Pervasive developmental disorders
f88,Other disorders of psychological development
f89,Unspecified disorder of psychological development
f90,Attention-deficit hyperactivity disorders
f91,Conduct disorders
f93,Emotional disorders with onset specific to childhood
f94,Disorders of social functioning with onset specific to childhood and adolescence
f95,Tic disorder
f98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
f99,"Mental disorder, not otherwise specified"
g00,"Bacterial meningitis, not elsewhere classified"
g01,Meningitis in bacterial diseases classified elsewhere
g02,Meningitis in other infectious and parasitic diseases classified elsewhere
g03,Meningitis due to other and unspecified causes
g04,"Encephalitis, myelitis and encephalomyelitis"
g05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
g06,Intracranial and intraspinal abscess and granuloma
g07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
g08,Intracranial and intraspinal phlebitis and thrombophlebitis
g09,Sequelae of inflammatory diseases of central nervous system
g10,Huntington's disease
g11,Hereditary ataxia
g12,Spinal muscular atrophy and related syndromes
g13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
g14,Postpolio syndrome
g20,Parkinson's disease
g21,Secondary parkinsonism
g23,Other degenerative diseases of basal ganglia
g24,Dystonia
g25,Other extrapyramidal and movement disorders
g26,Extrapyramidal and movement disorders in diseases classified elsewhere
g30,Alzheimer's disease
g31,"Other degenerative diseases of nervous system, not elsewhere classified"
g32,Other degenerative disorders of nervous system in diseases classified elsewhere
g35,Multiple sclerosis
g36,Other acute disseminated demyelination
g37,Other demyelinating diseases of central nervous system
g40,Epilepsy and recurrent seizures
g43,Migraine
g44,Other headache syndromes
g45,Transient cerebral ischemic attacks and related syndromes
g46,Vascular syndromes of brain in cerebrovascular diseases
g47,Sleep disorders
g50,Disorders of trigeminal nerve
g51,Facial nerve disorders
g52,Disorders of other cranial nerves
g53,Cranial nerve disorders in diseases classified elsewhere
g54,Nerve root and plexus disorders
g55,Nerve root and plexus compressions in diseases classified elsewhere
g56,Mononeuropathies of upper limb
g57,Mononeuropathies of lower limb
g58,Other mononeuropathies
g59,Mononeuropathy in diseases classified elsewhere
g60,Hereditary and idiopathic neuropathy
g61,Inflammatory polyneuropathy
g62,Other and unspecified polyneuropathies
g63,Polyneuropathy in diseases classified elsewhere
g64,Other disorders of peripheral nervous system
g65,Sequelae of inflammatory and toxic polyneuropathies
g70,Myasthenia gravis and other myoneural disorders
g71,Primary disorders of muscles
g72,Other and unspecified myopathies
g73,Disorders of myoneural junction and muscle in diseases classified elsewhere
g80,Cerebral palsy
g81,Hemiplegia and hemiparesis
g82,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
g83,Other paralytic syndromes
g89,"Pain, not elsewhere classified"
g90,Disorders of autonomic nervous system
g91,Hydrocephalus
g92,Toxic encephalopathy
g93,Other disorders of brain
g94,Other disorders of brain in diseases classified elsewhere
g95,Other and unspecified diseases of spinal cord
g96,Other disorders of central nervous system
g97,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
g98,Other disorders of nervous system not elsewhere classified
g99,Other disorders of nervous system in diseases classified elsewhere
h00,Hordeolum and chalazion
h01,Other inflammation of eyelid
h02,Other disorders of eyelid
h04,Disorders of lacrimal system
h05,Disorders of orbit
h10,Conjunctivitis
h11,Other disorders of conjunctiva
h15,Disorders of sclera
h16,Keratitis
h17,Corneal scars and opacities
h18,Other disorders of cornea
h20,Iridocyclitis
h21,Other disorders of iris and ciliary body
h22,Disorders of iris and ciliary body in diseases classified elsewhere
h25,Age-related cataract
h26,Other cataract
h27,Other disorders of lens
h28,Cataract in diseases classified elsewhere
h30,Chorioretinal inflammation
h31,Other disorders of choroid
h32,Chorioretinal disorders in diseases classified elsewhere
h33,Retinal detachments and breaks
h34,Retinal vascular occlusions
h35,Other retinal disorders
h36,Retinal disorders in diseases classified elsewhere
h40,Glaucoma
h42,Glaucoma in diseases classified elsewhere
h43,Disorders of vitreous body
h44,Disorders of globe
h46,Optic neuritis
h47,Other disorders of optic [2nd] nerve and visual pathways
h49,Paralytic strabismus
h50,Other strabismus
h51,Other disorders of binocular movement
h52,Disorders of refraction and accommodation
h53,Visual disturbances
h54,Blindness and low vision
h55,Nystagmus and other irregular eye movements
h57,Other disorders of eye and adnexa
h59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
h60,Otitis externa
h61,Other disorders of external ear
h62,Disorders of external ear in diseases classified elsewhere
h65,Nonsuppurative otitis media
h66,Suppurative and unspecified otitis media
h67,Otitis media in diseases classified elsewhere
h68,Eustachian salpingitis and obstruction
h69,Other and unspecified disorders of Eustachian tube
h70,Mastoiditis and related conditions
h71,Cholesteatoma of middle ear
h72,Perforation of tympanic membrane
h73,Other disorders of tympanic membrane
h74,Other disorders of middle ear mastoid
h75,Other disorders of middle ear and mastoid in diseases classified elsewhere
h80,Otosclerosis
h81,Disorders of vestibular function
h82,Vertiginous syndromes in diseases classified elsewhere
h83,Other diseases of inner ear
h90,Conductive and sensorineural hearing loss
h91,Other and unspecified hearing loss
h92,Otalgia and effusion of ear
h93,"Other disorders of ear, not elsewhere classified"
h94,Other disorders of ear in diseases classified elsewhere
h95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
i00,Rheumatic fever without heart involvement
i01,Rheumatic fever with heart involvement
i02,Rheumatic chorea
i05,Rheumatic mitral valve diseases
i06,Rheumatic aortic valve diseases
i07,Rheumatic tricuspid valve diseases
i08,Multiple valve diseases
i09,Other rheumatic heart diseases
i10,Essential (primary) hypertension
i11,Hypertensive heart disease
i12,Hypertensive chronic kidney disease
i13,Hypertensive heart and chronic kidney disease
i15,Secondary hypertension
i16,Hypertensive crisis
i20,Angina pectoris
i21,Acute myocardial infarction
i22,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
i23,Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)
i24,Other acute ischemic heart diseases
i25,Chronic ischemic heart disease
i26,Pulmonary embolism
i27,Other pulmonary heart diseases
i28,Other diseases of pulmonary vessels
i30,Acute pericarditis
i31,Other diseases of pericardium
i32,Pericarditis in diseases classified elsewhere
i33,Acute and subacute endocarditis
i34,Nonrheumatic mitral valve disorders
i35,Nonrheumatic aortic valve disorders
i36,Nonrheumatic tricuspid valve disorders
i37,Nonrheumatic pulmonary valve disorders
i38,"Endocarditis, valve unspecified"
i39,Endocarditis and heart valve disorders in diseases classified elsewhere
i40,Acute myocarditis
i41,Myocarditis in diseases classified elsewhere
i42,Cardiomyopathy
i43,Cardiomyopathy in diseases classified elsewhere
i44,Atrioventricular and left bundle-branch block
i45,Other conduction disorders
i46,Cardiac arrest
i47,Paroxysmal tachycardia
i48,Atrial fibrillation and flutter
i49,Other cardiac arrhythmias
i50,Heart failure
i51,Complications and ill-defined descriptions of heart disease
i52,Other heart disorders in diseases classified elsewhere
i60,Nontraumatic subarachnoid hemorrhage
i61,Nontraumatic intracerebral hemorrhage
i62,Other and unspecified nontraumatic intracranial hemorrhage
i63,Cerebral infarction
i65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
i66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
i67,Other cerebrovascular diseases
i68,Cerebrovascular disorders in diseases classified elsewhere
i69,Sequelae of cerebrovascular disease
i70,Atherosclerosis
i71,Aortic aneurysm and dissection
i72,Other aneurysm
i73,Other peripheral vascular diseases
i74,Arterial embolism and thrombosis
i75,Atheroembolism
i76,Septic arterial embolism
i77,Other disorders of arteries and arterioles
i78,Diseases of capillaries
i79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
i80,Phlebitis and thrombophlebitis
i81,Portal vein thrombosis
i82,Other venous embolism and thrombosis
i83,Varicose veins of lower extremities
i85,Esophageal varices
i86,Varicose veins of other sites
i87,Other disorders of veins
i88,Nonspecific lymphadenitis
i89,Other noninfective disorders of lymphatic vessels and lymph nodes
i95,Hypotension
i96,"Gangrene, not elsewhere classified"
i97,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
i99,Other and unspecified disorders of circulatory system
j00,Acute nasopharyngitis [common cold]
j01,Acute sinusitis
j02,Acute pharyngitis
j03,Acute tonsillitis
j04,Acute laryngitis and tracheitis
j05,Acute obstructive laryngitis [croup] and epiglottitis
j06,Acute upper respiratory infections of multiple and unspecified sites
j09,Influenza due to certain identified influenza viruses
j10,Influenza due to other identified influenza virus
j11,Influenza due to unidentified influenza virus
j12,"Viral pneumonia, not elsewhere classified"
j13,Pneumonia due to Streptococcus pneumoniae
j14,Pneumonia due to Hemophilus influenzae
j15,"Bacterial pneumonia, not elsewhere classified"
j16,"Pneumonia due to other infectious organisms, not elsewhere classified"
j17,Pneumonia in diseases classified elsewhere
j18,"Pneumonia, unspecified organism"
j20,Acute bronchitis
j21,Acute bronchiolitis
j22,Unspecified acute lower respiratory infection
j30,Vasomotor and allergic rhinitis
j31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
j32,Chronic sinusitis
j33,Nasal polyp
