diagcodelvl1,diagdesclvl1
s22,"Fracture of rib(s), sternum and thoracic spine"
s23,Dislocation and sprain of joints and ligaments of thorax
s24,Injury of nerves and spinal cord at thorax level
s25,Injury of blood vessels of thorax
s26,Injury of heart
s27,Injury of other and unspecified intrathoracic organs
s28,"Crushing injury of thorax, and traumatic amputation of part of thorax"
s29,Other and unspecified injuries of thorax
s30,"Superficial injury of abdomen, lower back, pelvis and external genitals"
s31,"Open wound of abdomen, lower back, pelvis and external genitals"
s32,Fracture of lumbar spine and pelvis
s33,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
s34,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level"
s35,"Injury of blood vessels at abdomen, lower back and pelvis level"
s36,Injury of intra-abdominal organs
s37,Injury of urinary and pelvic organs
s38,"Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals"
s39,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
s40,Superficial injury of shoulder and upper arm
s41,Open wound of shoulder and upper arm
s42,Fracture of shoulder and upper arm
s43,Dislocation and sprain of joints and ligaments of shoulder girdle
s44,Injury of nerves at shoulder and upper arm level
s45,Injury of blood vessels at shoulder and upper arm level
s46,"Injury of muscle, fascia and tendon at shoulder and upper arm level"
s47,Crushing injury of shoulder and upper arm
s48,Traumatic amputation of shoulder and upper arm
s49,Other and unspecified injuries of shoulder and upper arm
s50,Superficial injury of elbow and forearm
s51,Open wound of elbow and forearm
s52,Fracture of forearm
s53,Dislocation and sprain of joints and ligaments of elbow
s54,Injury of nerves at forearm level
s55,Injury of blood vessels at forearm level
s56,"Injury of muscle, fascia and tendon at forearm level"
s57,Crushing injury of elbow and forearm
s58,Traumatic amputation of elbow and forearm
s59,Other and unspecified injuries of elbow and forearm
s60,"Superficial injury of wrist, hand and fingers"
s61,"Open wound of wrist, hand and fingers"
s62,Fracture at wrist and hand level
s63,Dislocation and sprain of joints and ligaments at wrist and hand level
s64,Injury of nerves at wrist and hand level
s65,Injury of blood vessels at wrist and hand level
s66,"Injury of muscle, fascia and tendon at wrist and hand level"
s67,"Crushing injury of wrist, hand and fingers"
s68,"Traumatic amputation of wrist, hand and fingers"
s69,"Other and unspecified injuries of wrist, hand and finger(s)"
s70,Superficial injury of hip and thigh
s71,Open wound of hip and thigh
s72,Fracture of femur
s73,Dislocation and sprain of joint and ligaments of hip
s74,Injury of nerves at hip and thigh level
s75,Injury of blood vessels at hip and thigh level
s76,"Injury of muscle, fascia and tendon at hip and thigh level"
s77,Crushing injury of hip and thigh
s78,Traumatic amputation of hip and thigh
s79,Other and unspecified injuries of hip and thigh
s80,Superficial injury of knee and lower leg
s81,Open wound of knee and lower leg
s82,"Fracture of lower leg, including ankle"
s83,Dislocation and sprain of joints and ligaments of knee
s84,Injury of nerves at lower leg level
s85,Injury of blood vessels at lower leg level
s86,"Injury of muscle, fascia and tendon at lower leg level"
s87,Crushing injury of lower leg
s88,Traumatic amputation of lower leg
s89,Other and unspecified injuries of lower leg
s90,"Superficial injury of ankle, foot and toes"
s91,"Open wound of ankle, foot and toes"
s92,"Fracture of foot and toe, except ankle"
s93,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
s94,Injury of nerves at ankle and foot level
s95,Injury of blood vessels at ankle and foot level
s96,Injury of muscle and tendon at ankle and foot level
s97,Crushing injury of ankle and foot
s98,Traumatic amputation of ankle and foot
s99,Other and unspecified injuries of ankle and foot
t07,Unspecified multiple injuries
t14,Injury of unspecified body region
t15,Foreign body on external eye
t16,Foreign body in ear
t17,Foreign body in respiratory tract
t18,Foreign body in alimentary tract
t19,Foreign body in genitourinary tract
t20,"Burn and corrosion of head, face, and neck"
t21,Burn and corrosion of trunk
t22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
t23,Burn and corrosion of wrist and hand
t24,"Burn and corrosion of lower limb, except ankle and foot"
t25,Burn and corrosion of ankle and foot
t26,Burn and corrosion confined to eye and adnexa
t27,Burn and corrosion of respiratory tract
t28,Burn and corrosion of other internal organs
t30,"Burn and corrosion, body region unspecified"
t31,Burns classified according to extent of body surface involved
t32,Corrosions classified according to extent of body surface involved
t33,Superficial frostbite
t34,Frostbite with tissue necrosis
t36,"Poisoning by, adverse effect of and underdosing of systemic antibiotics"
t37,"Poisoning by, adverse effect of and underdosing of other systemic anti-infectives and antiparasitics"
t38,"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified"
t39,"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics"
t40,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
t41,"Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases"
t42,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs"
t43,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified"
t44,"Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system"
t45,"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified"
t46,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
t47,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system"
t48,"Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system"
t49,"Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs"
t50,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances"
t51,Toxic effect of alcohol
t52,Toxic effect of organic solvents
t53,Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons
t54,Toxic effect of corrosive substances
t55,Toxic effect of soaps and detergents
t56,Toxic effect of metals
t57,Toxic effect of other inorganic substances
t58,Toxic effect of carbon monoxide
t59,"Toxic effect of other gases, fumes and vapors"
t60,Toxic effect of pesticides
t61,Toxic effect of noxious substances eaten as seafood
t62,Toxic effect of other noxious substances eaten as food
t63,Toxic effect of contact with venomous animals and plants
t64,Toxic effect of aflatoxin and other mycotoxin food contaminants
t65,Toxic effect of other and unspecified substances
t66,"Radiation sickness, unspecified"
t67,Effects of heat and light
t68,Hypothermia
t69,Other effects of reduced temperature
t70,Effects of air pressure and water pressure
t71,Asphyxiation
t73,Effects of other deprivation
t74,"Adult and child abuse, neglect and other maltreatment, confirmed"
t75,Other and unspecified effects of other external causes
t76,"Adult and child abuse, neglect and other maltreatment, suspected"
t78,"Adverse effects, not elsewhere classified"
t79,"Certain early complications of trauma, not elsewhere classified"
t80,"Complications following infusion, transfusion and therapeutic injection"
t81,"Complications of procedures, not elsewhere classified"
t82,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
t83,"Complications of genitourinary prosthetic devices, implants and grafts"
t84,"Complications of internal orthopedic prosthetic devices, implants and grafts"
t85,"Complications of other internal prosthetic devices, implants and grafts"
t86,Complications of transplanted organs and tissue
t87,Complications peculiar to reattachment and amputation
t88,"Other complications of surgical and medical care, not elsewhere classified"
u07,Emergency use of U07
v00,Pedestrian conveyance accident
v01,Pedestrian injured in collision with pedal cycle
v02,Pedestrian injured in collision with two- or three-wheeled motor vehicle
v03,"Pedestrian injured in collision with car, pick-up truck or van"
v04,Pedestrian injured in collision with heavy transport vehicle or bus
v05,Pedestrian injured in collision with railway train or railway vehicle
v06,Pedestrian injured in collision with other nonmotor vehicle
v09,Pedestrian injured in other and unspecified transport accidents
v10,Pedal cycle rider injured in collision with pedestrian or animal
v11,Pedal cycle rider injured in collision with other pedal cycle
v12,Pedal cycle rider injured in collision with two- or three-wheeled motor vehicle
v13,"Pedal cycle rider injured in collision with car, pick-up truck or van"
v14,Pedal cycle rider injured in collision with heavy transport vehicle or bus
v15,Pedal cycle rider injured in collision with railway train or railway vehicle
v16,Pedal cycle rider injured in collision with other nonmotor vehicle
v17,Pedal cycle rider injured in collision with fixed or stationary object
v18,Pedal cycle rider injured in noncollision transport accident
v19,Pedal cycle rider injured in other and unspecified transport accidents
v20,Motorcycle rider injured in collision with pedestrian or animal
v21,Motorcycle rider injured in collision with pedal cycle
v22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
v23,"Motorcycle rider injured in collision with car, pick-up truck or van"
v24,Motorcycle rider injured in collision with heavy transport vehicle or bus
v25,Motorcycle rider injured in collision with railway train or railway vehicle
v26,Motorcycle rider injured in collision with other nonmotor vehicle
v27,Motorcycle rider injured in collision with fixed or stationary object
v28,Motorcycle rider injured in noncollision transport accident
v29,Motorcycle rider injured in other and unspecified transport accidents
v30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
v31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
v32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
v33,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
v34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
v35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
v36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
v37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
v38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
v39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
v40,Car occupant injured in collision with pedestrian or animal
v41,Car occupant injured in collision with pedal cycle
v42,Car occupant injured in collision with two- or three-wheeled motor vehicle
v43,"Car occupant injured in collision with car, pick-up truck or van"
v44,Car occupant injured in collision with heavy transport vehicle or bus
v45,Car occupant injured in collision with railway train or railway vehicle
v46,Car occupant injured in collision with other nonmotor vehicle
v47,Car occupant injured in collision with fixed or stationary object
v48,Car occupant injured in noncollision transport accident
v49,Car occupant injured in other and unspecified transport accidents
v50,Occupant of pick-up truck or van injured in collision with pedestrian or animal
v51,Occupant of pick-up truck or van injured in collision with pedal cycle
v52,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle
v53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
v54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus
v55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle
v56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle
v57,Occupant of pick-up truck or van injured in collision with fixed or stationary object
v58,Occupant of pick-up truck or van injured in noncollision transport accident
v59,Occupant of pick-up truck or van injured in other and unspecified transport accidents
v60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal
v61,Occupant of heavy transport vehicle injured in collision with pedal cycle
v62,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle
v63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van"
v64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus
v65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle
v66,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle
v67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object
v68,Occupant of heavy transport vehicle injured in noncollision transport accident
v69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents
v70,Bus occupant injured in collision with pedestrian or animal
v71,Bus occupant injured in collision with pedal cycle
v72,Bus occupant injured in collision with two- or three-wheeled motor vehicle
v73,"Bus occupant injured in collision with car, pick-up truck or van"
v74,Bus occupant injured in collision with heavy transport vehicle or bus
v75,Bus occupant injured in collision with railway train or railway vehicle
v76,Bus occupant injured in collision with other nonmotor vehicle
v77,Bus occupant injured in collision with fixed or stationary object
v78,Bus occupant injured in noncollision transport accident
v79,Bus occupant injured in other and unspecified transport accidents
v80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
v81,Occupant of railway train or railway vehicle injured in transport accident
v82,Occupant of powered streetcar injured in transport accident
v83,Occupant of special vehicle mainly used on industrial premises injured in transport accident
v84,Occupant of special vehicle mainly used in agriculture injured in transport accident
v85,Occupant of special construction vehicle injured in transport accident
v86,"Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident"
v87,Traffic accident of specified type but victim's mode of transport unknown
v88,Nontraffic accident of specified type but victim's mode of transport unknown
v89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
v90,Drowning and submersion due to accident to watercraft
v91,Other injury due to accident to watercraft
v92,"Drowning and submersion due to accident on board watercraft, without accident to watercraft"
v93,"Other injury due to accident on board watercraft, without accident to watercraft"
v94,Other and unspecified water transport accidents
v95,Accident to powered aircraft causing injury to occupant
v96,Accident to nonpowered aircraft causing injury to occupant
v97,Other specified air transport accidents
v98,Other specified transport accidents
v99,Unspecified transport accident
w00,Fall due to ice and snow
w01,"Fall on same level from slipping, tripping and stumbling"
w03,Other fall on same level due to collision with another person
w04,Fall while being carried or supported by other persons
w05,"Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter"
w06,Fall from bed
w07,Fall from chair
w08,Fall from other furniture
w09,Fall on and from playground equipment
w10,Fall on and from stairs and steps
w11,Fall on and from ladder
w12,Fall on and from scaffolding
w13,"Fall from, out of or through building or structure"
w14,Fall from tree
w15,Fall from cliff
w16,"Fall, jump or diving into water"
w17,Other fall from one level to another
w18,"Other slipping, tripping and stumbling and falls"
w19,Unspecified fall
w20,"Struck by thrown, projected or falling object"
w21,Striking against or struck by sports equipment
w22,Striking against or struck by other objects
w23,"Caught, crushed, jammed or pinched in or between objects"
w24,"Contact with lifting and transmission devices, not elsewhere classified"
w25,Contact with sharp glass
w26,Contact with other sharp objects
w27,Contact with nonpowered hand tool
w28,Contact with powered lawn mower
w29,Contact with other powered hand tools and household machinery
w30,Contact with agricultural machinery
w31,Contact with other and unspecified machinery
w32,Accidental handgun discharge and malfunction
w33,"Accidental rifle, shotgun and larger firearm discharge and malfunction"
w34,Accidental discharge and malfunction from other and unspecified firearms and guns
w35,Explosion and rupture of boiler
w36,Explosion and rupture of gas cylinder
w37,"Explosion and rupture of pressurized tire, pipe or hose"
w38,Explosion and rupture of other specified pressurized devices
w39,Discharge of firework
w40,Explosion of other materials
w42,Exposure to noise
w45,Foreign body or object entering through skin
w46,Contact with hypodermic needle
w49,Exposure to other inanimate mechanical forces
w50,"Accidental hit, strike, kick, twist, bite or scratch by another person"
w51,Accidental striking against or bumped into by another person
w52,"Crushed, pushed or stepped on by crowd or human stampede"
w53,Contact with rodent
w54,Contact with dog
w55,Contact with other mammals
w56,Contact with nonvenomous marine animal
w57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
w58,Contact with crocodile or alligator
w59,Contact with other nonvenomous reptiles
w60,Contact with nonvenomous plant thorns and spines and sharp leaves
w61,Contact with birds (domestic) (wild)
w62,Contact with nonvenomous amphibians
w64,Exposure to other animate mechanical forces
w65,Accidental drowning and submersion while in bath-tub
w67,Accidental drowning and submersion while in swimming-pool
w69,Accidental drowning and submersion while in natural water
w73,Other specified cause of accidental non-transport drowning and submersion
w74,Unspecified cause of accidental drowning and submersion
w85,Exposure to electric transmission lines
w86,Exposure to other specified electric current
w88,Exposure to ionizing radiation
w89,Exposure to man-made visible and ultraviolet light
w90,Exposure to other nonionizing radiation
w92,Exposure to excessive heat of man-made origin
w93,Exposure to excessive cold of man-made origin
w94,Exposure to high and low air pressure and changes in air pressure
w99,Exposure to other man-made environmental factors
x00,Exposure to uncontrolled fire in building or structure
x01,"Exposure to uncontrolled fire, not in building or structure"
x02,Exposure to controlled fire in building or structure
x03,"Exposure to controlled fire, not in building or structure"
x04,Exposure to ignition of highly flammable material
x05,Exposure to ignition or melting of nightwear
x06,Exposure to ignition or melting of other clothing and apparel
x08,"Exposure to other specified smoke, fire and flames"
x10,"Contact with hot drinks, food, fats and cooking oils"
x11,Contact with hot tap-water
x12,Contact with other hot fluids
x13,Contact with steam and other hot vapors
x14,Contact with hot air and other hot gases
x15,Contact with hot household appliances
x16,"Contact with hot heating appliances, radiators and pipes"
x17,"Contact with hot engines, machinery and tools"
x18,Contact with other hot metals
x19,Contact with other heat and hot substances
x30,Exposure to excessive natural heat
x31,Exposure to excessive natural cold
x32,Exposure to sunlight
x34,Earthquake
x35,Volcanic eruption
x36,"Avalanche, landslide and other earth movements"
x37,Cataclysmic storm
x38,Flood
x39,Exposure to other forces of nature
x50,Overexertion and strenuous or repetitive movements
x52,Prolonged stay in weightless environment
x58,Exposure to other specified factors
x71,Intentional self-harm by drowning and submersion
x72,Intentional self-harm by handgun discharge
x73,"Intentional self-harm by rifle, shotgun and larger firearm discharge"
x74,Intentional self-harm by other and unspecified firearm and gun discharge
x75,Intentional self-harm by explosive material
x76,"Intentional self-harm by smoke, fire and flames"
x77,"Intentional self-harm by steam, hot vapors and hot objects"
x78,Intentional self-harm by sharp object
x79,Intentional self-harm by blunt object
x80,Intentional self-harm by jumping from a high place
x81,Intentional self-harm by jumping or lying in front of moving object
x82,Intentional self-harm by crashing of motor vehicle
x83,Intentional self-harm by other specified means
x92,Assault by drowning and submersion
x93,Assault by handgun discharge
x94,"Assault by rifle, shotgun and larger firearm discharge"
x95,Assault by other and unspecified firearm and gun discharge
x96,Assault by explosive material
x97,"Assault by smoke, fire and flames"
x98,"Assault by steam, hot vapors and hot objects"
x99,Assault by sharp object
y00,Assault by blunt object
y01,Assault by pushing from high place
y02,Assault by pushing or placing victim in front of moving object
y03,Assault by crashing of motor vehicle
y04,Assault by bodily force
y07,"Perpetrator of assault, maltreatment and neglect"
y08,Assault by other specified means
y09,Assault by unspecified means
y21,"Drowning and submersion, undetermined intent"
y22,"Handgun discharge, undetermined intent"
y23,"Rifle, shotgun and larger firearm discharge, undetermined intent"
y24,"Other and unspecified firearm discharge, undetermined intent"
y25,"Contact with explosive material, undetermined intent"
y26,"Exposure to smoke, fire and flames, undetermined intent"
y27,"Contact with steam, hot vapors and hot objects, undetermined intent"
y28,"Contact with sharp object, undetermined intent"
y29,"Contact with blunt object, undetermined intent"
y30,"Falling, jumping or pushed from a high place, undetermined intent"
y31,"Falling, lying or running before or into moving object, undetermined intent"
y32,"Crashing of motor vehicle, undetermined intent"
y33,"Other specified events, undetermined intent"
y35,Legal intervention
y36,Operations of war
y37,Military operations
y38,Terrorism
y62,Failure of sterile precautions during surgical and medical care
y63,Failure in dosage during surgical and medical care
y64,Contaminated medical or biological substances
y65,Other misadventures during surgical and medical care
y66,Nonadministration of surgical and medical care
y69,Unspecified misadventure during surgical and medical care
y70,Anesthesiology devices associated with adverse incidents
y71,Cardiovascular devices associated with adverse incidents
y72,Otorhinolaryngological devices associated with adverse incidents
y73,Gastroenterology and urology devices associated with adverse incidents
y74,General hospital and personal-use devices associated with adverse incidents
y75,Neurological devices associated with adverse incidents
y76,Obstetric and gynecological devices associated with adverse incidents
y77,Ophthalmic devices associated with adverse incidents
y78,Radiological devices associated with adverse incidents
y79,Orthopedic devices associated with adverse incidents
y80,Physical medicine devices associated with adverse incidents
y81,General- and plastic-surgery devices associated with adverse incidents
y82,Other and unspecified medical devices associated with adverse incidents
y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
y90,Evidence of alcohol involvement determined by blood alcohol level
y92,Place of occurrence of the external cause
y93,Activity codes
y95,Nosocomial condition
y99,External cause status
z00,"Encounter for general examination without complaint, suspected or reported diagnosis"
z01,"Encounter for other special examination without complaint, suspected or reported diagnosis"
z02,Encounter for administrative examination
z03,Encounter for medical observation for suspected diseases and conditions ruled out
z04,Encounter for examination and observation for other reasons
z05,Encounter for observation and evaluation of newborn for suspected diseases and conditions ruled out
z08,Encounter for follow-up examination after completed treatment for malignant neoplasm
z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
z11,Encounter for screening for infectious and parasitic diseases
z12,Encounter for screening for malignant neoplasms
z13,Encounter for screening for other diseases and disorders
z14,Genetic carrier
z15,Genetic susceptibility to disease
z16,Resistance to antimicrobial drugs
z17,Estrogen receptor status
z18,Retained foreign body fragments
z19,Hormone sensitivity malignancy status
z20,Contact with and (suspected) exposure to communicable diseases
z21,Asymptomatic human immunodeficiency virus [HIV] infection status
z22,Carrier of infectious disease
z23,Encounter for immunization
z28,Immunization not carried out and underimmunization status
z29,Encounter for other prophylactic measures
z30,Encounter for contraceptive management
z31,Encounter for procreative management
z32,Encounter for pregnancy test and childbirth and childcare instruction
z33,Pregnant state
z34,Encounter for supervision of normal pregnancy
z36,Encounter for antenatal screening of mother
z37,Outcome of delivery
z38,Liveborn infants according to place of birth and type of delivery
z39,Encounter for maternal postpartum care and examination
z3a,Weeks of gestation
z40,Encounter for prophylactic surgery
z41,Encounter for procedures for purposes other than remedying health state
z42,Encounter for plastic and reconstructive surgery following medical procedure or healed injury
z43,Encounter for attention to artificial openings
z44,Encounter for fitting and adjustment of external prosthetic device
z45,Encounter for adjustment and management of implanted device
z46,Encounter for fitting and adjustment of other devices
z47,Orthopedic aftercare
z48,Encounter for other postprocedural aftercare
z49,Encounter for care involving renal dialysis
z51,Encounter for other aftercare and medical care
z52,Donors of organs and tissues
z53,"Persons encountering health services for specific procedures and treatment, not carried out"
z55,Problems related to education and literacy
z56,Problems related to employment and unemployment
z57,Occupational exposure to risk factors
z59,Problems related to housing and economic circumstances
z60,Problems related to social environment
z62,Problems related to upbringing
z63,"Other problems related to primary support group, including family circumstances"
z64,Problems related to certain psychosocial circumstances
z65,Problems related to other psychosocial circumstances
z66,Do not resuscitate
z67,Blood type
z68,Body mass index [BMI]
z69,Encounter for mental health services for victim and perpetrator of abuse
z70,"Counseling related to sexual attitude, behavior and orientation"
z71,"Persons encountering health services for other counseling and medical advice, not elsewhere classified"
z72,Problems related to lifestyle
z73,Problems related to life management difficulty
z74,Problems related to care provider dependency
z75,Problems related to medical facilities and other health care
z76,Persons encountering health services in other circumstances
z77,Other contact with and (suspected) exposures hazardous to health
z78,Other specified health status
z79,Long term (current) drug therapy
z80,Family history of primary malignant neoplasm
z81,Family history of mental and behavioral disorders
z82,Family history of certain disabilities and chronic diseases (leading to disablement)
z83,Family history of other specific disorders
z84,Family history of other conditions
z85,Personal history of malignant neoplasm
z86,Personal history of certain other diseases
z87,Personal history of other diseases and conditions
z88,"Allergy status to drugs, medicaments and biological substances"
z89,Acquired absence of limb
z90,"Acquired absence of organs, not elsewhere classified"
z91,"Personal risk factors, not elsewhere classified"
z92,Personal history of medical treatment
z93,Artificial opening status
z94,Transplanted organ and tissue status
z95,Presence of cardiac and vascular implants and grafts
z96,Presence of other functional implants
z97,Presence of other devices
z98,Other postprocedural states
z99,"Dependence on enabling machines and devices, not elsewhere classified"
